Время;Расположение источника;Источик;Тип сообщения;Комментарий;
2014.07.03  11:41:01.302;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 55 106 05 02 00 33 03 03 00 00 00 07 00 00 57 43 164 83 00 98 67 38 12 20 06 14 12 00 00 164 01 00 00 00 98 67 38 12 20 06 14 45 00 00 164 01 00 00 00 98 67 38 12 20 06 14 104 145 108 05 02 00 36 09 03 00 00 00 58 00 06 00 00 168 192 00 113 67 38 12 20 06 14 70 00 08 102 102 23 66 00 113 67 38 12 20 06 14 72 00 08 31 05 233 66 00 113 67 38 12 20 06 14 92 00 09 51 51 227 192 00 113 67 38 12 20 06 14 78 00 10 102 166 31 67 00 113 67 38 12 20 06 14 65 00 11 92 143 66 62 00 113 67 38 12 20 06 14 66 00 11 246 40 250 65 00 113 67 38 12 20 06 14 77 00 13 143 194 117 61 00 113 67 38 12 20 06 14 78 00 13 41 92 200 66 00 113 67 38 12 20 06 14 ;
2014.07.03  11:41:02.309;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 25 110 05 02 00 33 01 03 00 00 00 185 00 02 00 00 00 00 00 60 68 38 12 20 06 14 104 250 112 05 02 00 36 16 03 00 00 00 159 00 02 00 188 93 198 00 76 68 38 12 20 06 14 160 00 02 00 88 40 198 00 76 68 38 12 20 06 14 161 00 02 00 00 176 65 00 76 68 38 12 20 06 14 163 00 02 00 176 06 69 00 76 68 38 12 20 06 14 164 00 02 00 30 130 70 00 76 68 38 12 20 06 14 165 00 02 00 00 192 65 00 76 68 38 12 20 06 14 166 00 02 00 00 208 65 00 76 68 38 12 20 06 14 168 00 02 00 134 128 70 00 76 68 38 12 20 06 14 169 00 02 00 144 99 70 00 76 68 38 12 20 06 14 170 00 02 00 44 69 70 00 76 68 38 12 20 06 14 171 00 02 00 00 112 65 00 76 68 38 12 20 06 14 173 00 02 00 176 06 69 00 76 68 38 12 20 06 14 174 00 02 00 32 130 70 00 76 68 38 12 20 06 14 175 00 02 00 00 192 65 00 76 68 38 12 20 06 14 176 00 02 00 00 00 66 00 76 68 38 12 20 06 14 177 00 02 00 00 112 65 00 76 68 38 12 20 06 14 104 220 114 05 02 00 36 14 03 00 00 00 178 00 02 00 64 128 70 00 76 68 38 12 20 06 14 179 00 02 00 20 118 70 00 76 68 38 12 20 06 14 180 00 02 00 64 52 70 00 76 68 38 12 20 06 14 181 00 02 00 00 80 65 00 76 68 38 12 20 06 14 183 00 02 00 176 06 69 00 76 68 38 12 20 06 14 184 00 02 00 32 130 70 00 76 68 38 12 20 06 14 59 00 06 00 00 222 66 00 76 68 38 12 20 06 14 60 00 06 51 243 51 67 00 76 68 38 12 20 06 14 74 00 08 164 240 33 67 00 76 68 38 12 20 06 14 93 00 09 195 245 71 66 00 76 68 38 12 20 06 14 67 00 11 133 235 209 62 00 76 68 38 12 20 06 14 68 00 11 195 117 08 67 00 76 68 38 12 20 06 14 79 00 13 10 87 218 66 00 76 68 38 12 20 06 14 80 00 13 195 245 236 65 00 76 68 38 12 20 06 14 ;
2014.07.03  11:41:03.313;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 40 116 05 02 00 33 02 03 00 00 00 07 00 36 55 43 164 83 00 23 69 38 12 20 06 14 03 64 36 55 43 164 83 00 23 69 38 12 20 06 14 104 250 118 05 02 00 36 16 03 00 00 00 75 00 08 51 51 03 64 00 39 69 38 12 20 06 14 76 00 08 143 194 165 192 00 39 69 38 12 20 06 14 77 00 08 123 148 217 66 00 39 69 38 12 20 06 14 78 00 08 154 153 180 194 00 39 69 38 12 20 06 14 86 00 12 61 10 87 62 00 39 69 38 12 20 06 14 87 00 12 113 61 29 66 00 39 69 38 12 20 06 14 151 00 34 00 00 16 65 00 39 69 38 12 20 06 14 153 00 34 00 160 37 197 00 39 69 38 12 20 06 14 155 00 34 00 00 27 67 00 39 69 38 12 20 06 14 156 00 34 00 00 64 65 00 39 69 38 12 20 06 14 157 00 34 00 00 32 65 00 39 69 38 12 20 06 14 158 00 34 00 00 96 65 00 39 69 38 12 20 06 14 160 00 34 00 236 115 70 00 39 69 38 12 20 06 14 163 00 34 00 236 115 70 00 39 69 38 12 20 06 14 165 00 34 00 00 27 67 00 39 69 38 12 20 06 14 166 00 34 00 00 48 65 00 39 69 38 12 20 06 14 104 85 120 05 02 00 36 05 03 00 00 00 168 00 34 00 00 112 65 00 39 69 38 12 20 06 14 169 00 34 00 00 80 65 00 39 69 38 12 20 06 14 170 00 34 00 224 115 70 00 39 69 38 12 20 06 14 93 00 36 51 179 200 66 00 39 69 38 12 20 06 14 94 00 36 143 194 199 66 00 39 69 38 12 20 06 14 ;
2014.07.03  11:41:03.323;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Получено: 104 04 01 00 120 05 ;
2014.07.03  11:41:04.317;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 250 122 05 02 00 36 16 03 00 00 00 159 00 04 00 46 197 198 00 01 70 38 12 20 06 14 160 00 04 00 100 106 70 00 01 70 38 12 20 06 14 161 00 04 00 00 152 65 00 01 70 38 12 20 06 14 163 00 04 00 176 06 69 00 01 70 38 12 20 06 14 164 00 04 00 00 80 65 00 01 70 38 12 20 06 14 165 00 04 00 00 192 65 00 01 70 38 12 20 06 14 166 00 04 00 00 160 64 00 01 70 38 12 20 06 14 167 00 04 00 00 64 65 00 01 70 38 12 20 06 14 168 00 04 00 108 126 70 00 01 70 38 12 20 06 14 169 00 04 00 200 32 70 00 01 70 38 12 20 06 14 170 00 04 00 160 22 69 00 01 70 38 12 20 06 14 171 00 04 00 00 80 65 00 01 70 38 12 20 06 14 173 00 04 00 176 06 69 00 01 70 38 12 20 06 14 174 00 04 00 00 32 65 00 01 70 38 12 20 06 14 175 00 04 00 00 168 65 00 01 70 38 12 20 06 14 176 00 04 00 00 224 64 00 01 70 38 12 20 06 14 104 250 124 05 02 00 36 16 03 00 00 00 178 00 04 00 104 126 70 00 01 70 38 12 20 06 14 179 00 04 00 220 32 70 00 01 70 38 12 20 06 14 180 00 04 00 224 138 68 00 01 70 38 12 20 06 14 183 00 04 00 176 06 69 00 01 70 38 12 20 06 14 184 00 04 00 00 224 64 00 01 70 38 12 20 06 14 62 00 06 72 225 138 192 00 01 70 38 12 20 06 14 79 00 08 82 56 218 66 00 01 70 38 12 20 06 14 80 00 08 246 40 240 65 00 01 70 38 12 20 06 14 81 00 08 113 61 217 66 00 01 70 38 12 20 06 14 82 00 08 20 46 180 194 00 01 70 38 12 20 06 14 81 00 10 205 140 32 67 00 01 70 38 12 20 06 14 69 00 11 10 215 163 63 00 01 70 38 12 20 06 14 70 00 11 246 40 202 193 00 01 70 38 12 20 06 14 89 00 12 164 112 195 65 00 01 70 38 12 20 06 14 81 00 13 215 35 216 66 00 01 70 38 12 20 06 14 82 00 13 225 122 180 194 00 01 70 38 12 20 06 14 ;
2014.07.03  11:41:05.321;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 40 126 05 02 00 33 02 03 00 00 00 07 00 38 56 43 164 83 00 205 70 38 12 20 06 14 03 64 38 56 43 164 83 00 205 70 38 12 20 06 14 104 250 128 05 02 00 36 16 03 00 00 00 158 00 37 00 128 55 197 00 205 70 38 12 20 06 14 159 00 37 00 100 24 198 00 205 70 38 12 20 06 14 160 00 37 00 00 80 65 00 205 70 38 12 20 06 14 162 00 37 00 00 29 67 00 205 70 38 12 20 06 14 163 00 37 00 00 48 65 00 205 70 38 12 20 06 14 165 00 37 00 00 32 65 00 205 70 38 12 20 06 14 166 00 37 00 00 64 65 00 205 70 38 12 20 06 14 167 00 37 00 00 32 65 00 205 70 38 12 20 06 14 168 00 37 00 00 83 67 00 205 70 38 12 20 06 14 169 00 37 00 00 80 70 00 205 70 38 12 20 06 14 170 00 37 00 00 64 65 00 205 70 38 12 20 06 14 172 00 37 00 00 29 67 00 205 70 38 12 20 06 14 174 00 37 00 00 48 65 00 205 70 38 12 20 06 14 175 00 37 00 00 48 65 00 205 70 38 12 20 06 14 178 00 37 00 192 191 68 00 205 70 38 12 20 06 14 179 00 37 00 40 82 70 00 205 70 38 12 20 06 14 104 145 130 05 02 00 36 09 03 00 00 00 180 00 37 00 00 80 65 00 205 70 38 12 20 06 14 182 00 37 00 00 29 67 00 205 70 38 12 20 06 14 184 00 37 00 00 48 65 00 205 70 38 12 20 06 14 185 00 37 00 00 48 65 00 205 70 38 12 20 06 14 186 00 37 00 00 64 65 00 205 70 38 12 20 06 14 187 00 37 00 00 32 65 00 205 70 38 12 20 06 14 93 00 38 82 56 212 66 00 205 70 38 12 20 06 14 94 00 38 123 20 211 66 00 205 70 38 12 20 06 14 95 00 38 92 143 66 62 00 205 70 38 12 20 06 14 ;
2014.07.03  11:41:06.326;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 115 132 05 02 00 33 07 03 00 00 00 07 00 00 58 43 164 83 00 152 71 38 12 20 06 14 12 00 00 165 01 00 00 00 152 71 38 12 20 06 14 45 00 00 165 01 00 00 00 152 71 38 12 20 06 14 07 00 02 56 43 164 83 00 152 71 38 12 20 06 14 03 64 02 56 43 164 83 00 152 71 38 12 20 06 14 07 00 34 56 43 164 83 00 152 71 38 12 20 06 14 03 64 34 56 43 164 83 00 152 71 38 12 20 06 14 104 205 134 05 02 00 36 13 03 00 00 00 93 00 02 154 153 200 66 00 167 71 38 12 20 06 14 94 00 02 61 138 199 66 00 167 71 38 12 20 06 14 96 00 02 92 143 66 62 00 167 71 38 12 20 06 14 63 00 06 61 10 123 66 00 167 71 38 12 20 06 14 64 00 06 236 81 184 189 00 167 71 38 12 20 06 14 83 00 08 51 179 217 66 00 167 71 38 12 20 06 14 84 00 08 195 53 22 67 00 167 71 38 12 20 06 14 83 00 10 225 250 32 67 00 167 71 38 12 20 06 14 72 00 11 10 215 99 63 00 167 71 38 12 20 06 14 91 00 12 174 71 249 193 00 167 71 38 12 20 06 14 83 00 13 00 128 217 66 00 167 71 38 12 20 06 14 84 00 13 113 61 22 67 00 167 71 38 12 20 06 14 96 00 34 133 235 71 66 00 167 71 38 12 20 06 14 ;
2014.07.03  11:41:07.329;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 115 136 05 02 00 33 07 03 00 00 00 07 00 03 56 43 164 83 00 130 72 38 12 20 06 14 03 64 03 56 43 164 83 00 130 72 38 12 20 06 14 07 00 04 59 43 164 83 00 130 72 38 12 20 06 14 03 64 04 59 43 164 83 00 130 72 38 12 20 06 14 07 00 37 56 43 164 83 00 130 72 38 12 20 06 14 03 64 37 56 43 164 83 00 130 72 38 12 20 06 14 07 00 40 58 43 164 83 00 130 72 38 12 20 06 14 104 250 138 05 02 00 36 16 03 00 00 00 73 00 03 102 92 188 69 00 130 72 38 12 20 06 14 74 00 03 00 194 190 69 00 130 72 38 12 20 06 14 75 00 03 10 201 188 69 00 130 72 38 12 20 06 14 78 00 03 215 35 96 67 00 130 72 38 12 20 06 14 93 00 04 51 51 212 66 00 130 72 38 12 20 06 14 94 00 04 51 51 211 66 00 130 72 38 12 20 06 14 65 00 06 51 51 179 62 00 130 72 38 12 20 06 14 66 00 06 174 71 163 65 00 130 72 38 12 20 06 14 85 00 08 123 20 02 67 00 130 72 38 12 20 06 14 86 00 08 164 112 24 194 00 130 72 38 12 20 06 14 87 00 08 10 87 08 67 00 130 72 38 12 20 06 14 88 00 08 133 235 14 194 00 130 72 38 12 20 06 14 84 00 10 51 51 102 66 00 130 72 38 12 20 06 14 85 00 13 246 104 25 67 00 130 72 38 12 20 06 14 86 00 13 31 133 193 65 00 130 72 38 12 20 06 14 93 00 37 51 51 212 66 00 130 72 38 12 20 06 14 104 25 140 05 02 00 36 01 03 00 00 00 94 00 37 246 40 211 66 00 130 72 38 12 20 06 14 ;
2014.07.03  11:41:07.342;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Получено: 104 04 01 00 140 05 ;
2014.07.03  11:41:08.337;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 40 142 05 02 00 33 02 03 00 00 00 07 00 05 56 43 164 83 00 77 73 38 12 20 06 14 03 64 05 56 43 164 83 00 77 73 38 12 20 06 14 104 220 144 05 02 00 36 14 03 00 00 00 73 00 05 205 232 189 69 00 93 73 38 12 20 06 14 74 00 05 215 185 189 69 00 93 73 38 12 20 06 14 75 00 05 82 44 190 69 00 93 73 38 12 20 06 14 76 00 05 195 245 144 64 00 93 73 38 12 20 06 14 77 00 05 113 61 53 66 00 93 73 38 12 20 06 14 78 00 05 72 97 55 67 00 93 73 38 12 20 06 14 79 00 05 123 20 132 65 00 93 73 38 12 20 06 14 67 00 06 123 20 46 62 00 93 73 38 12 20 06 14 68 00 06 102 230 02 67 00 93 73 38 12 20 06 14 89 00 08 00 64 10 67 00 93 73 38 12 20 06 14 90 00 08 61 10 27 194 00 93 73 38 12 20 06 14 74 00 11 113 61 233 194 00 93 73 38 12 20 06 14 92 00 12 184 30 05 62 00 93 73 38 12 20 06 14 93 00 12 72 225 226 66 00 93 73 38 12 20 06 14 ;
